,precision,recall,f1-score,support
others,0.969,0.971,0.97,18215
nod,0.935,0.932,0.933,4329
shake,0.942,0.937,0.94,4348
accuracy,0.96,0.96,0.96,0
macro avg,0.949,0.947,0.948,26892
weighted avg,0.959,0.96,0.959,26892
