,precision,recall,f1-score,support
others,0.951,0.928,0.94,5913
nod,0.941,0.958,0.95,3720
shake,0.942,0.962,0.952,3749
accuracy,0.946,0.946,0.946,0
macro avg,0.945,0.949,0.947,13382
weighted avg,0.946,0.946,0.946,13382
