,precision,recall,f1-score,support
others,0.983,0.994,0.988,12704
nod,0.885,0.636,0.74,327
shake,0.851,0.698,0.767,351
accuracy,0.978,0.978,0.978,0
macro avg,0.906,0.776,0.832,13382
weighted avg,0.977,0.978,0.977,13382
