,precision,recall,f1-score,support,sum_fit_time
others,0.965,0.985,0.975,44558,81.83941698074341
nod,0.926,0.839,0.88,5446,81.83941698074341
shake,0.922,0.85,0.885,5379,81.83941698074341
accuracy,0.958,0.958,0.958,0,81.83941698074341
macro avg,0.938,0.892,0.913,55383,81.83941698074341
weighted avg,0.957,0.958,0.957,55383,81.83941698074341
