,precision,recall,f1-score,support
others,0.843,0.997,0.914,87524
nod,0.936,0.204,0.334,10130
shake,0.908,0.202,0.33,10276
accuracy,0.846,0.846,0.846,0
macro avg,0.895,0.467,0.526,107930
weighted avg,0.858,0.846,0.804,107930
