,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.95,0.97,44558,753.5251281261444
nod,0.82,0.92,0.87,5446,753.5251281261444
shake,0.8,0.93,0.86,5379,753.5251281261444
accuracy,0.95,0.95,0.95,0,753.5251281261444
macro avg,0.87,0.93,0.9,55383,753.5251281261444
weighted avg,0.95,0.95,0.95,55383,753.5251281261444
