,precision,recall,f1-score,support,sum_fit_time
others,0.992,0.992,0.992,5335,13.769216299057007
nod,0.969,0.969,0.969,708,13.769216299057007
shake,0.969,0.97,0.969,700,13.769216299057007
accuracy,0.987,0.987,0.987,0,13.769216299057007
macro avg,0.976,0.977,0.977,6743,13.769216299057007
weighted avg,0.987,0.987,0.987,6743,13.769216299057007
