,precision,recall,f1-score,support,sum_fit_time
others,0.94,0.97,0.96,44558,0.6422350406646729
nod,0.82,0.75,0.78,5446,0.6422350406646729
shake,0.85,0.75,0.8,5379,0.6422350406646729
accuracy,0.93,0.93,0.93,0,0.6422350406646729
macro avg,0.87,0.82,0.85,55383,0.6422350406646729
weighted avg,0.92,0.93,0.92,55383,0.6422350406646729
