,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,493.0037251
nod,0.93,0.85,0.89,5446,493.0037251
shake,0.93,0.86,0.89,5379,493.0037251
accuracy,0.96,0.96,0.96,0,493.0037251
macro avg,0.94,0.9,0.92,55383,493.0037251
weighted avg,0.96,0.96,0.96,55383,493.0037251
