,precision,recall,f1-score,support,sum_fit_time
others,0.88,0.98,0.93,44558,17.262808561325073
nod,0.81,0.37,0.51,5446,17.262808561325073
shake,0.87,0.54,0.66,5379,17.262808561325073
accuracy,0.88,0.88,0.88,0,17.262808561325073
macro avg,0.85,0.63,0.7,55383,17.262808561325073
weighted avg,0.87,0.88,0.86,55383,17.262808561325073
