,precision,recall,f1-score,support,sum_fit_time
others,0.965,0.985,0.975,44558,48.479167222976685
nod,0.924,0.842,0.881,5446,48.479167222976685
shake,0.917,0.843,0.879,5379,48.479167222976685
accuracy,0.957,0.957,0.957,0,48.479167222976685
macro avg,0.936,0.89,0.912,55383,48.479167222976685
weighted avg,0.957,0.957,0.956,55383,48.479167222976685
