,precision,recall,f1-score,support,sum_fit_time
others,0.92,0.92,0.92,44558,767.5973541736603
nod,0.55,0.53,0.54,5446,767.5973541736603
shake,0.63,0.63,0.63,5379,767.5973541736603
accuracy,0.85,0.85,0.85,0,767.5973541736603
macro avg,0.7,0.7,0.7,55383,767.5973541736603
weighted avg,0.85,0.85,0.85,55383,767.5973541736603
