,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.94,0.96,42701,208.32626223564148
nod,0.75,0.9,0.82,4924,208.32626223564148
shake,0.75,0.91,0.82,4846,208.32626223564148
accuracy,0.93,0.93,0.93,0,208.32626223564148
macro avg,0.83,0.92,0.87,52471,208.32626223564148
weighted avg,0.94,0.93,0.93,52471,208.32626223564148
