,precision,recall,f1-score,support,sum_fit_time
others,0.841,0.997,0.913,91389,1195.815729856491
nod,0.834,0.114,0.2,9780,1195.815729856491
shake,0.863,0.107,0.191,9710,1195.815729856491
accuracy,0.841,0.841,0.841,0,1195.815729856491
macro avg,0.846,0.406,0.435,110879,1195.815729856491
weighted avg,0.843,0.841,0.787,110879,1195.815729856491
