,mean_acc_X,mean_acc_Y,mean_acc_Z,mean_gyro_X,mean_gyro_Y,mean_gyro_Z,mean_acc_xyz,max_acc_X,max_acc_Y,max_acc_Z,max_gyro_X,max_gyro_Y,max_gyro_Z,max_acc_xyz,min_acc_X,min_acc_Y,min_acc_Z,min_gyro_X,min_gyro_Y,min_gyro_Z,min_acc_xyz,var_acc_X,var_acc_Y,var_acc_Z,var_gyro_X,var_gyro_Y,var_gyro_Z,var_acc_xyz,median_acc_X,median_acc_Y,median_acc_Z,median_gyro_X,median_gyro_Y,median_gyro_Z,median_acc_xyz,per25_acc_X,per25_acc_Y,per25_acc_Z,per25_gyro_X,per25_gyro_Y,per25_gyro_Z,per25_acc_xyz,per75_acc_X,per75_acc_Y,per75_acc_Z,per75_gyro_X,per75_gyro_Y,per75_gyro_Z,per75_acc_xyz,per_range_acc_X,per_range_acc_Y,per_range_acc_Z,per_range_gyro_X,per_range_gyro_Y,per_range_gyro_Z,per_range_acc_xyz,RMS_acc_X,RMS_acc_Y,RMS_acc_Z,RMS_gyro_X,RMS_gyro_Y,RMS_gyro_Z,RMS_acc_xyz,coef_acc_xy,coef_acc_xz,coef_acc_yz,coef_gyro_xy,coef_gyro_xz,coef_gyro_yz,PB0-5acc_X,PB5-10acc_X,PB10-15acc_X,PB15-20acc_X,PB20-25acc_X,PB25-30acc_X,PB30-35acc_X,PB35-40acc_X,PB40-45acc_X,PB45-50acc_X,PB0-5acc_Y,PB5-10acc_Y,PB10-15acc_Y,PB15-20acc_Y,PB20-25acc_Y,PB25-30acc_Y,PB30-35acc_Y,PB35-40acc_Y,PB40-45acc_Y,PB45-50acc_Y,PB0-5acc_Z,PB5-10acc_Z,PB10-15acc_Z,PB15-20acc_Z,PB20-25acc_Z,PB25-30acc_Z,PB30-35acc_Z,PB35-40acc_Z,PB40-45acc_Z,PB45-50acc_Z,PB0-5gyro_X,PB5-10gyro_X,PB10-15gyro_X,PB15-20gyro_X,PB20-25gyro_X,PB25-30gyro_X,PB30-35gyro_X,PB35-40gyro_X,PB40-45gyro_X,PB45-50gyro_X,PB0-5gyro_Y,PB5-10gyro_Y,PB10-15gyro_Y,PB15-20gyro_Y,PB20-25gyro_Y,PB25-30gyro_Y,PB30-35gyro_Y,PB35-40gyro_Y,PB40-45gyro_Y,PB45-50gyro_Y,PB0-5gyro_Z,PB5-10gyro_Z,PB10-15gyro_Z,PB15-20gyro_Z,PB20-25gyro_Z,PB25-30gyro_Z,PB30-35gyro_Z,PB35-40gyro_Z,PB40-45gyro_Z,PB45-50gyro_Z,PB0-5acc_xyz,PB5-10acc_xyz,PB10-15acc_xyz,PB15-20acc_xyz,PB20-25acc_xyz,PB25-30acc_xyz,PB30-35acc_xyz,PB35-40acc_xyz,PB40-45acc_xyz,PB45-50acc_xyz,FE_acc_X,FE_acc_Y,FE_acc_Z,FE_gyro_X,FE_gyro_Y,FE_gyro_Z,FE_acc_xyz,En_acc_X,En_acc_Y,En_acc_Z,En_gyro_X,En_gyro_Y,En_gyro_Z,En_acc_xyz
1504,-8.63508108603125,-3.678485099171875,-0.6373065544375,0.620229007625,1.479961832078125,-0.173425572484375,9.407606573484376,-8.601169464,-3.623624213,-0.592564911,1.801526718,1.938931298,0.961832061,9.483739753,-8.696937531,-3.742137195,-0.693121381,-0.671755725,0.534351145,-1.129770992,9.366395587,0.0003360527691762523,0.0006613775969147571,0.00046419637079459587,0.28634330749948284,0.08257003527680473,0.17693729372985104,0.0004378184273288526,-8.633491186499999,-3.678690851,-0.640448944,0.6183206105,1.534351145,-0.1908396945,9.405668949,-8.643067993,-3.694253162,-0.653617053,0.25572519099999996,1.33587786225,-0.458015267,9.39823839675,-8.622717279,-3.6625299895000003,-0.61860185375,0.992366412,1.667938931,0.095419847,9.41291823725,0.02035071400000099,0.03172317249999956,0.03501519924999996,0.736641221,0.33206106874999985,0.553435114,0.014679840500001262,8.635100544585674,3.678574996167189,0.6376706365356591,0.8191625781241324,1.5075997677383892,0.45498760743715233,9.40762984284,0.18692397121713672,-0.33901505616361044,0.1692487631013808,-0.4539682563269744,0.4776621164095813,-0.4102495389898691,305416.9651947817,0.39851339079251974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55424.94113549568,0.41817138331457576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.3911101303977,0.17866729341311297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.6490075824518,160.2789977084411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9112.590319572651,25.014380452275848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.1553411059203,93.63021758473356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362508.80830157653,0.5970037392112262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.001580848027843,4.009926176089498,3.0650831478633007,3.701241560991823,3.933414116470438,3.8681781484653426,3.8643685214110777,0.0216020329525453,0.04359593545562602,0.030583699251667214,18.85744683675808,5.372602169691172,11.66812972133457,0.028264994237680724
1505,-8.633378958359375,-3.681028938421875,-0.6620528731875,0.667938931265625,1.482108778625,-0.06059160303125001,9.408765901953124,-8.59518396,-3.612850305,-0.614112726,2.519083969,2.122137405,1.389312977,9.475055792,-8.689754926,-3.751714001,-0.741005414,-0.671755725,0.641221374,-1.328244275,9.366403313,0.0002996292878253397,0.0007076326613408804,0.0007736425474808614,0.380739758711405,0.0928872493800355,0.3278944172346279,0.000425397747896152,-8.631096985,-3.6828807035,-0.658405457,0.633587786,1.503816794,-0.175572519,9.406848781499999,-8.641870892,-3.694253162,-0.678756171,0.25572519099999996,1.34351145,-0.43129771,9.397312350250001,-8.62241800375,-3.6652234667499997,-0.640448944,1.08778625975,1.671755725,0.248091603,9.417601145999999,0.01945288825000091,0.02902969525000021,0.038307227,0.8320610687500001,0.32824427499999986,0.6793893129999999,0.0202887957499982,8.633396311297787,3.681125056033905,0.6626368910974583,0.9093306189784166,1.5131205110820898,0.5758174707253371,9.40878850838426,0.20855134433000858,-0.048819360840838766,-0.12706873728158646,-0.5041176937652226,0.5645713866093426,-0.3865723602337314,305296.4996368892,0.37234319155325624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55501.67079253746,0.46769151413112675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.7710708219186,0.1408316411892595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.397986244576,251.8345077077134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9156.672157599136,24.45479739221655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.9461014977395,165.69963930389972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362598.1529957061,0.5607076107166582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462928123122005,3.8744609950569893,2.9334086939038784,3.3908369607570616,3.2370316088133406,3.7820641542593854,4.097886710149242,0.019504925472191473,0.04674106532204564,0.051103640692279025,25.14543290863356,6.1308330430644595,21.657840077925062,0.02788776358926951
1506,-8.640056536484375,-3.657161740625,-0.703221918890625,6.029580152578124,3.7681297710156247,0.585400763359375,9.411990699390625,-8.226476904,-3.060986823,-0.392649072,68.90076336,39.06870229,5.251908397,9.604273711,-9.006986646,-4.411316559,-1.321599316,-0.580152672,-2.290076336,-1.328244275,9.32687477,0.010058266913002482,0.0365938595885552,0.020672821160812094,227.6686081420962,64.4175811101146,1.9783026830882502,0.001686038079966127,-8.6364839385,-3.6697125945,-0.6757634185,1.114503817,1.4809160305,0.13740458049999998,9.4085719545,-8.654141176,-3.693056061,-0.6964134077499999,0.48473282425,1.3129770995,-0.335877863,9.3930772665,-8.619125977,-3.6475662292499997,-0.66169748375,2.0267175575,1.76717557275,1.05725190825,9.4220329225,0.03501519900000005,0.04548983175000032,0.0347159239999999,1.54198473325,0.45419847324999996,1.39312977125,0.028955655999999053,8.640638588701613,3.662161364096322,0.7177700804359464,16.24882903345531,8.866588018021861,1.5234817809314258,9.412080267586735,-0.944082233387066,0.7148489087639607,-0.7034393422835405,0.9840098300415228,0.826167587705254,0.7403871696341123,305788.3342694575,0.8648743553491758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54857.05378601031,1.174649577635286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2067.472847246833,0.40064787083328307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614463.2459617298,674.6729369928422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189903.81675829834,171.9292617624436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5245.085552672962,210.00755168452505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362849.1975847738,0.6326556160942549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7017706180057366,3.505312140396486,3.3596630812641335,2.958530291816081,3.12532142118028,2.9123620466160136,4.269537798833865,0.6644934041328355,2.417372543252353,1.3657340099011614,15040.52588840867,4255.642640784438,130.69536890943144,0.1113774888757641
1507,-8.73391672334375,-3.4070798953125,-0.7358055070156251,0.8518606871249998,2.0961354960625,0.8127385496874999,9.414344545625,-8.226476904,-2.663549347,-0.257376678,68.90076336,39.06870229,22.82442748,9.752003793,-9.31703576,-4.411316559,-1.321599316,-71.06870229,-36.27480916,-23.84732824,9.168941533,0.035182646416312864,0.13044502982172673,0.04158713231666494,510.24818030323297,140.06738156678034,51.3093842281253,0.008236071815699835,-8.686163623,-3.494337323,-0.6811503725,1.0,1.4427480915,0.770992366,9.4048079595,-8.84148745575,-3.66821621825,-0.8233060955,-1.511450382,0.53435114475,-0.122137405,9.375191219,-8.62421365525,-3.077446959,-0.6428431455000001,2.461832061,2.96183206125,2.3053435115,9.436901095,0.217273800500001,0.59076925925,0.1804629499999999,3.973282443,2.4274809165,2.4274809165,0.06170987600000011,8.73593063026029,3.4261696459551394,0.7635423213360121,22.6047306317395,12.01919987289643,7.209017143707833,9.414781956877965,-0.9073591795156547,0.6385268074020718,-0.5419592631977651,0.95017360174436,-0.1061050200310507,0.08993322257007769,312513.66972955805,6.424515246487743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47808.693753346444,5.18003667989569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.127097518128,1.465795417059079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046637.9203132925,1271.64986988093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302809.3374510289,2031.2921313881636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103402.21427883714,4243.394082402026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363039.29121426627,5.4306679255929255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4475019023747877,2.733052375039871,3.1332944174204274,2.558796118297353,2.9358858363858213,3.5474257319783056,3.866970736960369,2.3242893556679145,8.611609734533506,2.7449773404742475,33709.220094761724,9253.474010309219,3388.407630826113,0.5432663698467025
1508,-8.815562740890625,-3.19710092784375,-0.77622636478125,-4.574188931125,-0.5512881680937498,-0.039599236562500084,9.41440773978125,-8.459911566,-2.663549347,-0.257376678,4.992366412,14.09160305,22.94656489,9.752003793,-9.31703576,-3.702632867,-1.161187805,-71.06870229,-36.27480916,-23.84732824,9.168941533,0.02417711500477953,0.054562304719248,0.025784419228563497,228.77152858051645,72.3050093053137,96.03095477072021,0.011578897235688052,-8.7992896515,-3.226186737,-0.776918439,0.1297709925,1.236641221,0.6870229005,9.4025259755,-8.896254819,-3.35726927825,-0.8843582385,-2.01145038175,-1.25954198425,-3.59923664125,9.3599676535,-8.70501796125,-3.01759191775,-0.7101800675000001,1.55725190875,2.8702290075,4.618320611000001,9.476594170750001,0.191236857749999,0.3396773605000001,0.17417817099999988,3.5687022905,4.12977099175,8.21755725225,0.11662651725000117,8.816933908881467,3.2056226614401475,0.7926612067018782,15.801731960710601,8.521087251612547,9.79961850636322,9.415022675920053,-0.7500805732651755,0.6180748865062029,-0.6359585171329237,0.8575838210448666,-0.2946272880086003,0.15815100889933392,318359.37369421404,7.196044299416813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41974.88662274436,3.8402763393870374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2519.311034434118,1.2910706623103272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552666.1165695966,1552.0175334981775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147890.14019084748,1418.191423977846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194020.22825117517,2637.3247823782385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363051.0441888933,5.430735571840842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7670866988815925,3.4422074641170552,3.5382420343140137,3.1076999732780526,3.478186407329297,2.6364196779412894,3.4229144406805436,1.5971547303960616,3.603333985831424,1.7029220324019987,15113.676726927828,4776.769554526367,6344.1930708460595,0.764467869195085
1509,-8.770652755109374,-3.32193609878125,-0.76358198728125,0.6476622136875001,1.1755725190937498,-0.4873568702656249,9.41148998815625,-8.627505682,-2.886210101,-0.683544574,3.984732824,7.114503817,22.94656489,9.614698703,-9.074024292,-3.484760516,-0.995987891,-5.099236641,-6.290076336,-15.63358779,9.254561139,0.00852493936895235,0.0246269483306008,0.005313476235598146,2.232036337496898,5.531328302784635,46.11647998924552,0.004988211329512864,-8.7406317105,-3.3871967984999998,-0.741005414,0.809160305,1.450381679,-0.4580152675,9.406798441,-8.795399074,-3.423708374,-0.7951742265,0.36259542,1.00000000025,-1.190839695,9.38653143475,-8.717288245,-3.31537074875,-0.70599021475,1.3091603055,1.87022900775,0.40458015275,9.42776411975,0.07811082899999988,0.1083376252499999,0.08918401175000001,0.9465648855000001,0.8702290074999999,1.59541984775,0.04123268500000066,8.771138733943081,3.32564074919655,0.7670534059216353,1.6283435388564327,2.629315319704554,6.808376951097863,9.41175499088745,-0.5892908758138158,0.570609454266143,-0.8756127324172337,-0.4897483386251809,-0.5814413766366829,0.91948435687863,315097.3307681064,2.1844564435286924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45243.4868661469,7.162544077608949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2397.687286293609,1.2888624797239117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5432.600580417113,825.9097082590639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16547.538589914333,427.11242704196377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89463.93775496652,5874.0435452462625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362816.8614535027,1.131035734469265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46469718370611,3.3385588796438785,2.5690571240898166,3.733156320844,2.814225006703297,2.8462633194196068,2.7388780562194674,0.5631815483663812,1.6257553188289824,0.3508236351833667,147.3297330282633,365.4081516573903,3045.7786165906227,0.3294879281269748
1510,-8.725312561140624,-3.448454692765625,-0.725069009,0.7602576335,1.5176526717812497,-0.250477099296875,9.410121779703125,-8.689754926,-3.373430139,-0.683544574,1.877862595,2.259541985,0.900763359,9.500469209,-8.813056311,-3.537432953,-0.762553229,-0.13740458,0.763358779,-1.328244275,9.371365669,0.0004122115600176356,0.0013004956860330195,0.0004159820631842267,0.1758797541463948,0.08128692055462991,0.22158323200754199,0.0003809064270906921,-8.720879547,-3.459621399,-0.730231506,0.778625954,1.5267175575,-0.2366412215,9.410579800499999,-8.737638959,-3.472789508,-0.739808313,0.43893129799999997,1.38549618325,-0.48091603075,9.4002767745,-8.71339766675,-3.4231098235,-0.7071873157499999,0.99999999975,1.64122137375,-0.011450382,9.4164061675,0.024241292250000157,0.04967968450000004,0.03262099725000012,0.56106870175,0.2557251905000002,0.46946564875,0.016129392999999936,8.725336182701408,3.4486432497060773,0.7253558091553595,0.8682576941446676,1.5442009431156931,0.53321853801206,9.41014201886827,-0.2836559155325528,-0.47427487889643244,0.4319408744448506,-0.4891364841756477,0.5462179920870786,-0.43637162687246894,311833.32769833866,0.38555056750690014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48711.220951918855,0.37255855869541665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2154.0720241331355,0.14314177223857277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2619.157694823864,102.85835728569256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9558.960683283813,36.934373928969684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.8911235339302,91.4676288305788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362702.62144896056,0.5103147498053531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7487244796237285,2.6693735720902034,3.4451746940764334,4.0072657775078255,3.97456803111101,3.8187782043514997,4.071065984408385,0.027232349231855062,0.08571670768875746,0.027448277515922638,11.619377019422835,5.364752410789282,14.626999331781048,0.025137694073879176
1511,-8.71590409675,-3.472883031546875,-0.7280617611250001,0.87356870228125,1.45324427478125,-0.08635496181249999,9.410557566453125,-8.689754926,-3.420117072,-0.678756171,1.969465649,2.122137405,1.312977099,9.487690051,-8.792705597,-3.537432953,-0.761356128,-0.091603053,0.763358779,-1.145038168,9.372005226,0.00027116980185576053,0.0004203004540173234,0.0002814096726699189,0.16813172857091002,0.060150013099574885,0.17052632965075107,0.0003538722609329659,-8.713696942,-3.471592407,-0.730231506,0.893129771,1.465648855,-0.152671756,9.410579800499999,-8.72117882225,-3.48416196625,-0.739808313,0.59923664125,1.312977099,-0.335877863,9.40007514525,-8.70501796075,-3.46411052675,-0.7212532505,1.1183206107499999,1.603053435,0.08015267175,9.41798334875,0.016160861499999513,0.02005143949999999,0.018555062500000052,0.5190839694999999,0.29007633600000005,0.41603053475,0.017908203500001107,8.71591965277017,3.4729435427689044,0.7282549949606295,0.9650150289898376,1.4737940613545897,0.4218809181278402,9.410576368309705,0.32491439004976175,-0.32350920991376864,-0.020374625806182815,-0.5067139734401479,0.564869027518166,-0.4954301580370834,311160.9125418081,0.3579606687764351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49401.94850669325,0.3971703330975512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.5690174174106,0.1625272686735248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.8492024506822,125.48334552238744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8735.377684463612,29.982769365518912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8468932967973,111.73178537142401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362736.16685891146,0.49850401529143873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.240470159805036,4.099354983219335,3.992255623513279,3.7300143843949636,3.9072384840069168,3.864059622248413,4.126310857049179,0.017645103354164315,0.027763039906347556,0.018533409563931378,11.10740595334374,3.9728190882908936,11.255573870071608,0.02314270677783432
1512,-8.714407720703125,-3.475239823796875,-0.7136778464687499,0.9005248091718749,1.41483778625,-0.083253816734375,9.408944852953125,-8.677783917,-3.420117072,-0.678756171,1.969465649,2.122137405,1.312977099,9.487690051,-8.792705597,-3.53264455,-0.757764825,-0.167938931,0.717557252,-1.145038168,9.364945808,0.00037750661942661753,0.0004134542815337081,0.0003736031651562175,0.16508720494543044,0.07459541030077191,0.18447300334368666,0.00045114228021799277,-8.71130274,-3.473986609,-0.712274994,0.900763359,1.450381679,-0.152671756,9.406962792,-8.723573024250001,-3.487154718,-0.729034406,0.61832061025,1.251908397,-0.385496183,9.39808562525,-8.702923035,-3.4653076277499997,-0.697909784,1.1183206107499999,1.561068702,0.122137405,9.41798334875,0.02064998925000161,0.021847090250000534,0.03112462199999999,0.5000000004999999,0.309160305,0.507633588,0.01989772350000152,8.71442938058882,3.475299309007106,0.7139395434526854,0.987943387487093,1.4409584906240611,0.4374976586731952,9.408968827039088,0.31031797788122417,-0.24860002410548943,-0.10576965193404772,-0.3172715461860635,0.5924578693123803,-0.36133710225367893,311054.1372023054,0.5109652598053526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49469.06706397581,0.35532690465017974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.810408258279,0.17271604184966646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3545.6212637810363,105.24257002394533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8319.075568794728,28.69998741796456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5819926789493,90.02318751439681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362611.9023591121,0.6517536281043937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.007547789135412,4.399671644063018,3.6527276765953416,4.183387039960596,4.073881014220032,3.9421097018828313,3.9249198856960756,0.023674177484929015,0.02726785177306439,0.024601453477729837,10.906372478657918,4.928075851812276,12.135656428077134,0.028592778571560694
1513,-8.71461347240625,-3.469516185484375,-0.71474401434375,1.035543893125,1.63883587784375,-0.1793893129375,9.40713819165625,-8.672995514,-3.377021442,-0.678756171,2.687022901,2.702290076,1.114503817,9.486827706,-8.781931689,-3.537432953,-0.784101044,-0.167938931,0.717557252,-1.267175573,9.362002334,0.00042305180093057503,0.0009056986982170316,0.0005188034292671043,0.39829813744418346,0.17949288174320888,0.2849557135570043,0.000488138337851141,-8.708908539,-3.472789508,-0.7092822415,0.8854961835,1.564885496,-0.175572519,9.403309011000001,-8.72596722525,-3.485957617,-0.724246002,0.63740458,1.419847328,-0.4847328245,9.3927366875,-8.700528833,-3.453635895,-0.697909784,1.3778625955000001,1.85496183175,0.12595419875,9.41729614525,0.025438392250000774,0.03232172199999983,0.026336217999999967,0.7404580155000001,0.43511450375000016,0.61068702325,0.024559457750001457,8.714637744923506,3.469646705362992,0.7151068517847425,1.2127032992585882,1.6927125911539453,0.563148505416815,9.40716413672343,0.04163535802421488,-0.2690893542132115,-0.014342160803185169,0.2998910469806331,0.48517122193339923,-0.100704361526864,311068.8884967026,0.5229639503224315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49307.25762558659,0.34833979520546265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093.3347997866276,0.18042449195700416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5098.405297257522,98.67222613712754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11321.93486795,43.887163051532795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0847591676818,94.94922425298057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362472.72352726193,0.6538746685494083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1716593684177194,3.7968690031267354,3.3897028463192855,3.8410851894835543,3.4632160876814306,3.480385077754155,3.9156518072435627,0.027781715909401105,0.05946174512189161,0.03380843253776836,26.30642247996323,11.85015535913752,18.82395754952243,0.031946399445039346
