,precision,recall,f1-score,support,elapsed_time
others,0.92,0.91,0.91,1173,1.7508964538574219
nod,0.91,0.92,0.91,616,1.7508964538574219
shake,0.94,0.95,0.94,756,1.7508964538574219
accuracy,0.92,0.92,0.92,0,1.7508964538574219
macro avg,0.93,0.93,0.92,2545,1.7508964538574219
weighted avg,0.93,0.92,0.92,2545,1.7508964538574219
