,precision,recall,f1-score,support,elapsed_time
others,0.92,0.9,0.91,1173,1.5049312114715576
nod,0.91,0.92,0.91,616,1.5049312114715576
shake,0.94,0.94,0.94,756,1.5049312114715576
accuracy,0.92,0.92,0.92,0,1.5049312114715576
macro avg,0.92,0.92,0.92,2545,1.5049312114715576
weighted avg,0.92,0.92,0.92,2545,1.5049312114715576
