,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.94,0.96,42701,246.86549973487854
nod,0.76,0.89,0.82,4924,246.86549973487854
shake,0.77,0.91,0.83,4846,246.86549973487854
accuracy,0.94,0.94,0.94,0,246.86549973487854
macro avg,0.84,0.92,0.87,52471,246.86549973487854
weighted avg,0.94,0.94,0.94,52471,246.86549973487854
