,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.95,0.96,42536,201.0942862033844
nod,0.78,0.89,0.83,4915,201.0942862033844
shake,0.78,0.91,0.84,4828,201.0942862033844
accuracy,0.94,0.94,0.94,0,201.0942862033844
macro avg,0.85,0.92,0.88,52279,201.0942862033844
weighted avg,0.95,0.94,0.94,52279,201.0942862033844
