,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,137.53099751472473
nod,0.93,0.84,0.88,5446,137.53099751472473
shake,0.92,0.85,0.89,5379,137.53099751472473
accuracy,0.96,0.96,0.96,0,137.53099751472473
macro avg,0.94,0.89,0.91,55383,137.53099751472473
weighted avg,0.96,0.96,0.96,55383,137.53099751472473
