,precision,recall,f1-score,support,sum_fit_time
others,0.964,0.985,0.974,44558,104.51517677307129
nod,0.924,0.836,0.878,5446,104.51517677307129
shake,0.922,0.847,0.883,5379,104.51517677307129
accuracy,0.957,0.957,0.957,0,104.51517677307129
macro avg,0.937,0.889,0.912,55383,104.51517677307129
weighted avg,0.956,0.957,0.956,55383,104.51517677307129
