,precision,recall,f1-score,support,sum_fit_time
others,0.983,0.962,0.972,44558,903.6387052536011
nod,0.852,0.91,0.88,5446,903.6387052536011
shake,0.825,0.916,0.868,5379,903.6387052536011
accuracy,0.952,0.952,0.952,0,903.6387052536011
macro avg,0.887,0.929,0.907,55383,903.6387052536011
weighted avg,0.955,0.952,0.953,55383,903.6387052536011
