,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.92,0.95,42701,227.20916223526
nod,0.61,0.8,0.69,4924,227.20916223526
shake,0.74,0.86,0.8,4846,227.20916223526
accuracy,0.91,0.91,0.91,0,227.20916223526
macro avg,0.78,0.86,0.81,52471,227.20916223526
weighted avg,0.92,0.91,0.91,52471,227.20916223526
