,precision,recall,f1-score,support
others,0.972,0.983,0.978,39341
nod,0.949,0.917,0.933,7243
shake,0.949,0.927,0.938,7322
accuracy,0.966,0.966,0.966,0
macro avg,0.957,0.942,0.949,53906
weighted avg,0.966,0.966,0.966,53906
