,precision,recall,f1-score,support,sum_fit_time
others,0.96,0.981,0.97,44558,60.304505825042725
nod,0.899,0.803,0.848,5446,60.304505825042725
shake,0.907,0.838,0.871,5379,60.304505825042725
accuracy,0.95,0.95,0.95,0,60.304505825042725
macro avg,0.922,0.874,0.897,55383,60.304505825042725
weighted avg,0.949,0.95,0.949,55383,60.304505825042725
