,precision,recall,f1-score,support
others,0.972,0.98,0.976,40549
nod,0.937,0.905,0.921,6651
shake,0.935,0.919,0.927,6706
accuracy,0.963,0.963,0.963,0
macro avg,0.948,0.935,0.941,53906
weighted avg,0.963,0.963,0.963,53906
