,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,181.8497257232666
nod,0.93,0.84,0.88,5446,181.8497257232666
shake,0.92,0.85,0.89,5379,181.8497257232666
accuracy,0.96,0.96,0.96,0,181.8497257232666
macro avg,0.94,0.89,0.91,55383,181.8497257232666
weighted avg,0.96,0.96,0.96,55383,181.8497257232666
