,mean_gyro_X,max_gyro_X,max_gyro_Z,min_gyro_X,min_gyro_Y,min_gyro_Z,var_gyro_Y,var_gyro_Z,median_gyro_X,per25_gyro_X,per25_gyro_Y,per25_gyro_Z,per75_gyro_X,per75_gyro_Z,per_range_gyro_X,per_range_gyro_Y,per_range_gyro_Z,RMS_gyro_Z,coef_gyro_xy,coef_gyro_xz,coef_gyro_yz,PB15-20gyro_X,PB20-25gyro_X,PB40-45gyro_X,PB20-25gyro_Y,PB40-45gyro_Y,PB10-15gyro_Z,PB15-20gyro_Z,PB20-25gyro_Z,PB40-45gyro_Z,PB45-50gyro_Z,En_gyro_X,En_gyro_Z
53024,1.3229961834062487,69.83206107,9.58778626,-60.32061069,-17.75572519,-1.908396947,195.71207151865667,9.854160369292325,1.4885496185,-16.8244274825,-2.175572519,0.2938931295,11.79389313,4.82442748075,28.6183206125,8.41603053425,4.53053435125,4.137379052626253,0.9668047322233705,0.15627843155746357,0.3363138289726026,14783.148997718486,5503.450268700051,1536.1279035309974,2504.1954403692207,438.80042881841285,3516.925515566335,301.91985107350513,187.94496025584814,61.5799689247043,60.64102339620899,36462.97657973375,336.13343434481703
53025,-9.89265267309375,71.03816794,14.04580153,-109.0076336,-45.03816794,-3.847328244,295.1573259927067,17.81123964934976,-4.145038168,-27.129770995,-3.744274809,0.15648854950000002,5.6030534347500005,4.96946564875,32.73282442975,8.8206106865,4.81297709925,4.97236624012537,0.9752167485173397,-0.633321037941819,-0.5603863977659704,103856.70022677447,76060.75114885761,26073.33056718926,16847.28645598682,4960.450207073352,4758.551737245434,83.53968837891135,555.1726767917535,87.36985621324092,154.30437741744197,55865.55151327456,607.9241536610843
53026,-1.2681297699687502,120.778626,14.04580153,-112.8549618,-56.58015267,-4.900763359,1264.3732737013993,23.061825323406744,-1.8854961829999999,-35.690839695,-19.1335877825,0.8778625952500001,60.916030535000004,5.82824427475,96.60687023,50.366412207500005,4.9503816795,5.843405496582347,0.9907634698282174,-0.6472425094224934,-0.6137444584686043,74407.8067187401,37785.41054498131,12046.317769039673,13908.375303934487,2853.9972428481196,7410.449068725165,550.6979601257693,583.2732312794778,99.46626039899634,47.75725650390019,156435.24350223484,787.1764737873781
53027,-6.725667936406249,120.778626,10.76335878,-117.2519084,-79.72519084,-8.015267176,2206.0903028740595,26.891350434522906,-23.73282443,-76.6526717575,-48.51908397,-1.36259542,66.1335877875,5.0725190842500005,142.786259545,88.6526717525,6.43511450425,5.37017814369693,0.9923193357575215,-0.3279700049082703,-0.272270772414504,43981.808075997214,39538.44029218731,18530.605728698865,10868.348456472657,6444.18728226032,4447.350106501908,1931.618967072014,2132.8280146497254,151.5196601513744,562.3366295377463,212338.3012786722,917.009047571661
53028,0.579198473468751,114.5496183,5.007633588,-117.2519084,-79.72519084,-8.183206107,1357.556709263315,16.738622457402563,-3.030534351,-41.5114503775,-34.160305345,-6.3320610685,38.713740460000004,-0.038167939250000005,80.22519083750001,56.950381682499994,6.29389312925,5.2143816734336985,0.9934086490595967,-0.21205804243406068,-0.23563859319556668,11593.77137857151,23948.865844437998,14403.552235550713,18829.47847406242,5247.012850024216,2296.363612539667,1131.1061506613007,598.9556666422861,182.16685666499862,56.27825199289325,110393.82730654332,570.5886603167897
53029,3.3077290075312504,55.11450382,-1.160305344,-9.20610687,-5.816793893,-8.183206107,147.49090756386497,2.8819234017392987,-3.396946565,-6.38167938925,-2.03435114475,-5.347328244,0.44274809125,-3.7595419845,6.824427480500001,4.427480916,1.5877862594999996,4.789930352622103,0.9721459158288954,-0.5787364730371707,-0.6565080247873297,11823.541595960352,4946.89050752096,808.2029610120943,6270.583481355741,245.74037223440078,551.7053156931729,56.95169935139034,200.64237266468274,71.06604207181736,43.160819739268064,10041.371310902006,98.30948467891493
53030,-2.452290076375,4.732824427,1.06870229,-9.20610687,-4.564885496,-5.419847328,6.019065532103909,3.556182759664005,-1.3587786259999999,-5.885496183,-1.39694656475,-3.9007633585000003,0.38931297675,-0.744274809,6.27480915975,3.74809160325,3.1564885495000006,2.9237102121991922,0.6241167478327249,0.8242429254090282,0.4018623241971987,94.40849816847951,259.122784066808,84.4359223092987,505.66896880537826,152.7855991534883,104.75156059519114,70.46414551390527,2.658980616621739,14.862824260167459,6.95386800116712,500.96384435355867,121.35912824553652
53031,0.14026717546874995,4.732824427,2.946564885,-4.320610687,-2.687022901,-2.519083969,6.221188077143291,1.8083882055718927,0.175572519,-0.5992366415,1.97709923675,-0.736641221,1.053435115,1.0916030535,1.6526717565000002,2.1641221369999997,1.8282442745,1.3473823053425604,0.45016738356965047,0.40327922137009053,0.5745176290914937,447.9176994792523,21.16090085339348,61.517174218105446,179.40074371266147,68.41817647867835,339.6610893066103,95.2165096995259,22.099167851544536,6.134151711003145,24.065502489216392,112.27435851855428,61.68824659722307
53032,0.425572519,1.740458015,2.946564885,-0.900763359,2.809160305,-0.396946565,1.13386434909067,0.6577623316715795,0.5877862595,-0.16030534375,3.17175572525,-0.01526717525,0.786259542,0.96564885525,0.94656488575,1.2175572515000002,0.9809160305,1.0169589302628406,0.14109232883232972,-0.26994443125387024,-0.01955243860420209,11.243190464031732,20.141097336985002,12.92368062600712,87.54382984413743,6.8532522425785585,33.875356838976614,36.471409320967986,54.26867321527847,5.245223764895421,3.189016257335014,17.76117165291179,22.43918963305457
53033,0.8587786259375001,3.145038168,1.175572519,-0.183206107,2.549618321,-1.893129771,0.4844769755426932,0.281138691952036,0.702290076,0.519083969,2.896946565,-0.0610687025,0.97709923675,0.46564885475,0.45801526775,1.04961832075,0.52671755725,0.566321416071094,0.13137346326157656,-0.2710842597781873,0.49212638203902925,18.77706796622744,13.191389849026006,0.8988782029212417,22.780872857174923,9.195983355378525,24.814765947217758,0.15947903244128983,20.41054603565683,13.434140172209814,4.968824344133097,16.90303984421234,9.454600545484032
