,precision,recall,f1-score,support
others,0.975,0.984,0.98,40549
nod,0.947,0.923,0.935,6651
shake,0.949,0.923,0.936,6706
accuracy,0.969,0.969,0.969,0
macro avg,0.957,0.943,0.95,53906
weighted avg,0.969,0.969,0.969,53906
