,precision,recall,f1-score,support,sum_fit_time
others,0.966,0.978,0.972,21178,195.18638014793396
nod,0.921,0.873,0.896,3234,195.18638014793396
shake,0.924,0.897,0.91,3221,195.18638014793396
accuracy,0.956,0.956,0.956,0,195.18638014793396
macro avg,0.937,0.916,0.926,27633,195.18638014793396
weighted avg,0.956,0.956,0.956,27633,195.18638014793396
