,precision,recall,f1-score,support
others,0.968,0.98,0.974,21009
nod,0.922,0.874,0.898,2950
shake,0.927,0.896,0.911,2933
accuracy,0.959,0.959,0.959,0
macro avg,0.939,0.917,0.928,26892
weighted avg,0.959,0.959,0.959,26892
