,precision,recall,f1-score,support,sum_fit_time
others,0.994,0.904,0.947,44558,60.231948137283325
nod,0.704,0.937,0.804,5446,60.231948137283325
shake,0.675,0.958,0.792,5379,60.231948137283325
accuracy,0.912,0.912,0.912,0,60.231948137283325
macro avg,0.791,0.933,0.848,55383,60.231948137283325
weighted avg,0.935,0.912,0.918,55383,60.231948137283325
